Date,Event,Details,Billing on,Shop name,Shop country,Shop email,Shop domain
,,,,,,,
,,,,,,,
2024-07-12 12:55:53 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 26876674228,2024-07-19,Salvia Kids,IN,salviakidsfbd@gmail.com,057bb2-4.myshopify.com
2024-07-13 20:43:53 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33114456344,2024-07-20,KBF Home Improvement,US,kbfhimprovement@gmail.com,furniture-and-beyond-connections.myshopify.com
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2024-07-17 23:29:37 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33324532044,2024-07-24,beflügelt +,DE,info@befluegeltplus.de,befluegeltvet.myshopify.com
,,,,,,,
,,,,,,,
,,,,,,,
2024-07-20 11:47:20 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33004781886,2024-07-27,thegymmonster,IN,thegymmonster.store1@gmail.com,6639c8-6e.myshopify.com
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2024-07-22 22:38:43 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33065074962,2024-07-29,Rebel Reaper Clothing Company,US,matt@rebelreaper.com,rebel-reaper-clothing-company-llc.myshopify.com
2024-07-23 06:06:42 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33037943091,2024-07-30,Lucky Number Co.,US,luckynumberscompany@gmail.com,4fb3cc-13.myshopify.com
2024-07-23 11:58:33 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 29279912179,2024-07-30,wrkny-uat,US,srujal.shah@datatusk.com,wrkny-uat.myshopify.com
,,,,,,,
,,,,,,,
2024-07-24 07:09:41 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33650114827,2024-07-31,ModeMajestique,ES,modemajestique.fr@gmail.com,813e79-a8.myshopify.com
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2024-07-26 19:43:20 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 28787998966,2024-08-02,Brownie Darling,IN,hello@browniedarling.com,2149a3-8b.myshopify.com
,,,,,,,
,,,,,,,
,,,,,,,
2024-07-28 02:11:53 UTC,Subscription charge frozen,Growth - $6.99 USD. Subscription ID: 24426479727,,自建站,US,haraguchikubitz@gmail.com,180ce5-b0.myshopify.com
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2024-07-29 08:59:26 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33060553020,2024-08-05,COOSHAPE,US,yrz@joshine.cn,039e85-b2.myshopify.com
,,,,,,,
,,,,,,,
2024-07-29 15:01:49 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33589297483,2024-08-05,FLLUX,PT,digitalmoneyfest@gmail.com,a3f8ea.myshopify.com
2024-07-30 12:53:36 UTC,Subscription charge frozen,Growth - $6.99 USD. Subscription ID: 34061517064,,Steptoes ,DE,info@steptoes.de,4bbd6c-fa.myshopify.com
2024-08-01 16:14:36 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 28848128230,2024-08-08,Barefoot Asia,HK,support@barefoot.asia,barefoot-asia.myshopify.com
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2024-08-05 03:04:36 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 23527817262,2024-08-12,Tekerem,US,fringussmalls@gmail.com,85b050.myshopify.com
,,,,,,,
,,,,,,,
2024-08-06 02:26:11 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 25042288776,2024-08-13,Ritzberg,NG,theritzberg@gmail.com,053736-36.myshopify.com
,,,,,,,
2024-08-07 20:16:42 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 34183086344,2024-08-14,PARADUXE,AE,sejoalnajar@gmail.com,a28d81-56.myshopify.com
