Date,Event,Details,Billing on,Shop name,Shop country,Shop email,Shop domain
2024-07-09 17:00:33 UTC,Uninstalled,App security or privacy issues,,Storied Label,US,storiedlabel@gmail.com,03e6c3.myshopify.com
2024-07-10 03:20:52 UTC,Uninstalled,难以设置或使用,,HKMLC Smart Board,CN,hklmcoffice@gmail.com,220743-9a.myshopify.com
2024-07-10 10:10:37 UTC,Uninstalled,Moeilijk in te stellen of te gebruiken,,LuxeLashes.nl,NL,trendtoknl@gmail.com,446862-55.myshopify.com
2024-07-10 11:54:34 UTC,Uninstalled,Not working or compatible with store,,Pro Fishing Source ,US,admin@profishingsource.com,profishingnew.myshopify.com
2024-07-10 13:49:40 UTC,Uninstalled,Not using app now,,Infinio,CA,infiniostore@gmail.com,89e9ff-2.myshopify.com
2024-07-10 22:51:17 UTC,Uninstalled,Hard to set up or use,,FULMINANT,US,contact@fulminant.store,3df302-fa.myshopify.com
2024-07-11 08:40:15 UTC,Uninstalled,Limited or missing features,,Camport,PT,contacto@camport.pt,camportfootwear.myshopify.com
2024-07-11 22:00:37 UTC,Uninstalled,Not using app now,,Wrappr,CA,brittany@wrappr.com,david-wile.myshopify.com
2024-07-12 01:42:29 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33104003352,2024-07-19,Shay & Bahari,US,mel@shayandbahari.com,scarlette-official.myshopify.com
2024-07-12 01:58:16 UTC,Uninstalled,Hard to set up or use,,Shay & Bahari,US,mel@shayandbahari.com,scarlette-official.myshopify.com
2024-07-12 01:58:16 UTC,Subscription charge canceled,Growth - $6.99 USD. Subscription ID: 33104003352,,Shay & Bahari,US,mel@shayandbahari.com,scarlette-official.myshopify.com
2024-07-12 03:10:37 UTC,Uninstalled,Not using app now,,WILLMA,SG,davex.pwn+shopify@gmail.com,a5e376-9c.myshopify.com
2024-07-12 07:59:21 UTC,Uninstalled,Not using app now,,EXON - גיימינג ותוכנות,CY,business@exongames.co.il,exon-israel.myshopify.com
2024-07-12 12:55:53 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 26876674228,2024-07-19,Salvia Kids,IN,salviakidsfbd@gmail.com,057bb2-4.myshopify.com
2024-07-13 09:57:52 UTC,Uninstalled,Not working or compatible with store,,Swift Cordless Battery Garden Tools,FR,lenny@ngp.cn,swift-garden-tools.myshopify.com
2024-07-13 11:00:22 UTC,Subscription charge expired,Growth - $6.99 USD. Subscription ID: 33063371064,,beauti to show,SG,datdetde03@gmail.com,beauti-to-show.myshopify.com
2024-07-13 11:00:28 UTC,Subscription charge expired,Growth - $6.99 USD. Subscription ID: 28376039644,,Testing Store,SG,support@nestscale.com,nestdesk-testing-store.myshopify.com
2024-07-13 12:31:00 UTC,Uninstalled,Not working or compatible with store,,Sunny Planet ,US,info@sunnyplanet.com,sunnyplanet-pr.myshopify.com
