Date,Event,Details,Billing on,Shop name,Shop country,Shop email,Shop domain
2024-07-12 01:42:29 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33104003352,2024-07-19,Shay & Bahari,US,mel@shayandbahari.com,scarlette-official.myshopify.com
2024-07-12 01:58:16 UTC,Subscription charge canceled,Growth - $6.99 USD. Subscription ID: 33104003352,,Shay & Bahari,US,mel@shayandbahari.com,scarlette-official.myshopify.com
2024-07-12 12:55:53 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 26876674228,2024-07-19,Salvia Kids,IN,salviakidsfbd@gmail.com,057bb2-4.myshopify.com
2024-07-13 20:43:53 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33114456344,2024-07-20,KBF Home Improvement,US,kbfhimprovement@gmail.com,furniture-and-beyond-connections.myshopify.com
2024-07-13 23:09:58 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 26424869034,2024-07-20,Prodesksim,US,info@prodesksim.com,prodesksim.myshopify.com
2024-07-13 23:19:09 UTC,Subscription charge canceled,Growth - $6.99 USD. Subscription ID: 26424869034,,Prodesksim,US,info@prodesksim.com,prodesksim.myshopify.com
2024-07-15 19:00:58 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 26436862126,2024-07-22,Aya Pitaya ,BR,contato@ayapitaya.com.br,ayapitaya.myshopify.com
2024-07-15 19:05:22 UTC,Subscription charge canceled,Growth - $6.99 USD. Subscription ID: 26436862126,,Aya Pitaya ,BR,contato@ayapitaya.com.br,ayapitaya.myshopify.com
2024-07-16 00:48:30 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33124417837,2024-07-23,Geeks Town,IN,info@geekstown.com,geekstown-1349.myshopify.com
2024-07-16 06:38:57 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 24426479727,2024-07-23,自建站,US,haraguchikubitz@gmail.com,180ce5-b0.myshopify.com
2024-07-16 08:50:42 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 24185110595,2024-07-23,HOKIPO | Har Ghar ka Humsafar,IN,contact@hokipo.in,40c2f1-2.myshopify.com
2024-07-17 19:28:51 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33155776787,2024-07-24,Dad Marketing s.r.o.,CZ,info@comfortfusse.com,f85fdb-2.myshopify.com
2024-07-17 21:50:13 UTC,Subscription charge canceled,Growth - $6.99 USD. Subscription ID: 33155776787,,Dad Marketing s.r.o.,CZ,info@comfortfusse.com,f85fdb-2.myshopify.com
2024-07-17 23:29:37 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33324532044,2024-07-24,beflügelt +,DE,info@befluegeltplus.de,befluegeltvet.myshopify.com
2024-07-18 04:02:31 UTC,Subscription charge canceled,Growth - $6.99 USD. Subscription ID: 24185110595,,HOKIPO | Har Ghar ka Humsafar,IN,contact@hokipo.in,40c2f1-2.myshopify.com
2024-07-19 10:44:17 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33059635489,2024-07-26,Hottieful,IN,hottieful.in@gmail.com,b9a77d-02.myshopify.com
2024-07-19 10:56:20 UTC,Subscription charge canceled,Growth - $6.99 USD. Subscription ID: 33059635489,,Hottieful,IN,hottieful.in@gmail.com,b9a77d-02.myshopify.com
2024-07-20 11:47:20 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33004781886,2024-07-27,thegymmonster,IN,thegymmonster.store1@gmail.com,6639c8-6e.myshopify.com
2024-07-20 15:31:06 UTC,Subscription charge activated,Growth - $6.99 USD. Subscription ID: 33049477414,2024-07-27,pewox,HK,2650480346@qq.com,uk-onsideshe.myshopify.com
2024-07-22 09:34:58 UTC,Subscription charge canceled,Growth - $6.99 USD. Subscription ID: 33049477414,,pewox,HK,2650480346@qq.com,uk-onsideshe.myshopify.com
