Date,Event,Details,Billing on,Shop name,Shop country,Shop email,Shop domain
2024-07-09 17:00:33 UTC,Uninstalled,App security or privacy issues,,Storied Label,US,storiedlabel@gmail.com,03e6c3.myshopify.com
2024-07-09 17:05:49 UTC,Installed,,,Honor The House Official,US,support@honorxhouse.com,bb3aa0-1f.myshopify.com
2024-07-09 17:15:12 UTC,Store re-opened,,,Nodique,GB,nodiquefashion@gmail.com,e68561-2.myshopify.com
2024-07-09 17:20:11 UTC,Store closed,,,Nodique,GB,nodiquefashion@gmail.com,e68561-2.myshopify.com
2024-07-09 17:30:22 UTC,Store re-opened,,,Nodique,GB,nodiquefashion@gmail.com,e68561-2.myshopify.com
2024-07-09 18:00:10 UTC,Store closed,,,Vemondia,DK,bravedeltashop@gmail.com,99041c-5c.myshopify.com
2024-07-09 18:03:21 UTC,Installed,,,Almasad,NL,info@almasad.eu,17531c.myshopify.com
2024-07-09 18:28:10 UTC,Installed,,,HRBL Nutrition LTD,GB,info@hrblnutrition.com,a31c9d-0d.myshopify.com
2024-07-09 19:11:42 UTC,Store closed,,,Babyimglück,DE,babyimglueck.service@gmail.com,a2143f-2.myshopify.com
2024-07-09 20:13:37 UTC,Installed,,,Phonemarvels.com,AE,hashir2522@gmail.com,50bcb2-d1.myshopify.com
2024-07-09 20:31:47 UTC,Installed,,,ShopKASAI,BR,suporte@shopkasai.com.br,261eff-66.myshopify.com
2024-07-09 20:47:56 UTC,Installed,,,"ALL ESSENTIAL NEEDS, LLC",US,allessentialneeds23@gmail.com,all-essential-needs-8326.myshopify.com
2024-07-09 20:52:56 UTC,Installed,,,Masterpiece Baby,IE,vrancianu.edward@gmail.com,e4e53d-0a.myshopify.com
2024-07-09 20:54:16 UTC,Uninstalled,"",,Masterpiece Baby,IE,vrancianu.edward@gmail.com,e4e53d-0a.myshopify.com
2024-07-09 23:20:43 UTC,Installed,,,AMORA ESSENTIALS,IN,business@amoraessentials.in,84e571-e4.myshopify.com
2024-07-09 23:33:49 UTC,Uninstalled,"",,AMORA ESSENTIALS,IN,business@amoraessentials.in,84e571-e4.myshopify.com
2024-07-09 23:58:28 UTC,Store re-opened,,,Uniforms World Store,US,contactus@uworld.store,bel-aire-scrubs.myshopify.com
2024-07-10 00:48:03 UTC,Store closed,,,My Store,DE,jehadalbakeer05@gmail.com,f6a267-05.myshopify.com
2024-07-10 01:41:08 UTC,Installed,,,Teeluxe Store,MA,Teeluxestore@gmail.com,b5e7a6-c6.myshopify.com
2024-07-10 01:51:21 UTC,Installed,,,DESIGN MARKET,CO,lsilva@bombox.com,coldisenos.myshopify.com
2024-07-10 02:30:43 UTC,Installed,,,expermex,MX,exper.mex.compra@gmail.com,1c6650-03.myshopify.com
2024-07-10 03:14:42 UTC,Installed,,,HKMLC Smart Board,CN,hklmcoffice@gmail.com,220743-9a.myshopify.com
2024-07-10 03:20:52 UTC,Uninstalled,难以设置或使用,,HKMLC Smart Board,CN,hklmcoffice@gmail.com,220743-9a.myshopify.com
2024-07-10 03:30:08 UTC,Installed,,,HKMLC Smart Board,CN,hklmcoffice@gmail.com,220743-9a.myshopify.com
2024-07-10 05:36:21 UTC,Installed,,,Mindy Mae's Market,US,mindymaesmarket@gmail.com,mindy-maes-market.myshopify.com
2024-07-10 05:50:44 UTC,Uninstalled,"",,HKMLC Smart Board,CN,hklmcoffice@gmail.com,220743-9a.myshopify.com
2024-07-10 06:05:35 UTC,Installed,,,Modern Glam,AU,modernglam4@gmail.com,c35b32-6c.myshopify.com
2024-07-10 07:35:52 UTC,Installed,,,2Stoned Shop,DE,service@2-stoned.shop,568394-e6.myshopify.com
2024-07-10 07:36:25 UTC,Installed,,,Unsheathe,US,mark.malazarte@shopify.com,otaklo.myshopify.com
2024-07-10 07:41:14 UTC,Installed,,,Transhumance,DE,mail@transhumance.de,transhumans.myshopify.com
2024-07-10 07:58:26 UTC,Installed,,,CAEXVEN,ES,admon@caexven.com,caexven.myshopify.com
2024-07-10 08:47:07 UTC,Uninstalled,"",,CAEXVEN,ES,admon@caexven.com,caexven.myshopify.com
2024-07-10 08:49:37 UTC,Installed,,,thenaturnestindia,IN,raghav@swasthum.com,thenaturnestindia.myshopify.com
2024-07-10 09:33:35 UTC,Store closed,,,Tapswipe,BG,pcanva466@gmail.com,3bb776-66.myshopify.com
2024-07-10 10:10:37 UTC,Uninstalled,Moeilijk in te stellen of te gebruiken,,LuxeLashes.nl,NL,trendtoknl@gmail.com,446862-55.myshopify.com
2024-07-10 10:38:50 UTC,Installed,,,Gym Junkie,NL,hernandezgoldwyn@gmail.com,shopgymjunkie.myshopify.com
2024-07-10 10:39:08 UTC,Installed,,,ErgoTune,SG,1688@marvable.com,ergotune.myshopify.com
2024-07-10 10:54:09 UTC,Installed,,,Cabani Shoes Wholesale,TR,e-ticaret@cabani.com.tr,5aab55-2.myshopify.com
2024-07-10 11:07:34 UTC,Installed,,,AMORA ESSENTIALS,IN,business@amoraessentials.in,84e571-e4.myshopify.com
2024-07-10 11:23:39 UTC,Installed,,,DogKick,US,umutcancimen2@gmail.com,store-07-08.myshopify.com
2024-07-10 11:43:05 UTC,Installed,,,Pro Fishing Source ,US,admin@profishingsource.com,profishingnew.myshopify.com
2024-07-10 11:54:34 UTC,Uninstalled,Not working or compatible with store,,Pro Fishing Source ,US,admin@profishingsource.com,profishingnew.myshopify.com
2024-07-10 12:18:35 UTC,Installed,,,FitBox Evolution,GB,fitboxevo@gmail.com,wallsofluxe.myshopify.com
2024-07-10 12:28:35 UTC,Uninstalled,"",,FitBox Evolution,GB,fitboxevo@gmail.com,wallsofluxe.myshopify.com
2024-07-10 12:30:45 UTC,Store re-opened,,,Winter Wish,CH,info.winterwish@gmail.com,3dc6a8.myshopify.com
2024-07-10 12:49:46 UTC,Uninstalled,"",,BabyStep,PL,anes.yassine.pro@gmail.com,7ed12d-34.myshopify.com
2024-07-10 12:51:03 UTC,Installed,,,BabyStep,PL,anes.yassine.pro@gmail.com,7ed12d-34.myshopify.com
2024-07-10 12:59:36 UTC,Uninstalled,"",,Loving Box,FR,7gdyb4rtnw@privaterelay.appleid.com,e18c7b-ca.myshopify.com
2024-07-10 13:12:15 UTC,Installed,,,Butteir,IN,shahsalloni@gmail.com,71f83f-37.myshopify.com
2024-07-10 13:49:40 UTC,Uninstalled,Not using app now,,Infinio,CA,infiniostore@gmail.com,89e9ff-2.myshopify.com
2024-07-10 13:52:27 UTC,Installed,,,Chic & Gold Shop,US,munira@chicandgold.com,ffbb6b-c0.myshopify.com
2024-07-10 14:03:35 UTC,Store re-opened,,,StellarWave,NL,contact.stellarwave@gmail.com,7b0869-3.myshopify.com
2024-07-10 15:08:23 UTC,Installed,,,Pakabutis.lt,LT,silvijus0624@googlemail.com,2b5394-6e.myshopify.com
2024-07-10 15:19:28 UTC,Uninstalled,"",,Pakabutis.lt,LT,silvijus0624@googlemail.com,2b5394-6e.myshopify.com
2024-07-10 15:38:35 UTC,Store closed,,,Bubble Pops,SE,josephg.khoury@outlook.com,c54ccb-38.myshopify.com
2024-07-10 15:43:16 UTC,Installed,,,Loving Box,FR,7gdyb4rtnw@privaterelay.appleid.com,e18c7b-ca.myshopify.com
2024-07-10 16:57:53 UTC,Installed,,,Stoner Golf,US,michelle@dicedsalads.com,3edd6a-de.myshopify.com
2024-07-10 17:13:58 UTC,Installed,,,My Store,RO,corneaandrei80@gmail.com,c8d6e6.myshopify.com
2024-07-10 17:27:56 UTC,Installed,,,Ihr Parfum ,DE,info@ihrparfum.de,a73762-2.myshopify.com
2024-07-10 17:36:24 UTC,Uninstalled,"",,Ihr Parfum ,DE,info@ihrparfum.de,a73762-2.myshopify.com
2024-07-10 17:42:14 UTC,Installed,,,Euro Savings,CA,haiderbajwa48@gmail.com,2495e7.myshopify.com
2024-07-10 17:45:41 UTC,Installed,,,Luxey Lens,US,luxeylens@gmail.com,6bd8fd-ea.myshopify.com
2024-07-10 17:51:33 UTC,Uninstalled,"",,PR-Belts,DK,info@prbelts.dk,db9d80-3.myshopify.com
2024-07-10 17:52:28 UTC,Installed,,,dmoban,CN,zhenhe@qq.com,dmoban.myshopify.com
2024-07-10 18:22:27 UTC,Installed,,,CuteStore,NL,cutestorenl@gmail.com,98a590-cd.myshopify.com
2024-07-10 18:26:52 UTC,Uninstalled,"",,CuteStore,NL,cutestorenl@gmail.com,98a590-cd.myshopify.com
2024-07-10 18:39:18 UTC,Installed,,,Hook Sportwear,BR,hook.sportwear@gmail.com,430db4-2.myshopify.com
2024-07-10 18:58:15 UTC,Installed,,,Vemondia,DK,shopgrouponline@hotmail.com,9c6f9c-0b.myshopify.com
2024-07-10 19:30:05 UTC,Uninstalled,"",,Pine Wear,US,broome.ecom@gmail.com,4e371e-32.myshopify.com
2024-07-10 19:49:52 UTC,Installed,,,EZ Solutions,CA,lara@beaumarche.com,www-ezskitote.myshopify.com
2024-07-10 20:23:07 UTC,Installed,,,Vemondia,DK,shopgrouponline@outlook.com,7dfa2f-b7.myshopify.com
2024-07-10 20:41:33 UTC,Installed,,,My Store,CA,dylanlinkedva@gmail.com,e4b222-b6.myshopify.com
2024-07-10 20:48:01 UTC,Installed,,,Baby Republic,US,derickmiller214@gmail.com,7de63b-68.myshopify.com
2024-07-10 21:21:32 UTC,Uninstalled,"",,My Store,CA,dylanlinkedva@gmail.com,e4b222-b6.myshopify.com
2024-07-10 21:47:17 UTC,Installed,,,Inoster,IN,admin@inoster.com,621bf2-87.myshopify.com
2024-07-10 21:59:17 UTC,Uninstalled,"",,Inoster,IN,admin@inoster.com,621bf2-87.myshopify.com
2024-07-10 22:51:17 UTC,Uninstalled,Hard to set up or use,,FULMINANT,US,contact@fulminant.store,3df302-fa.myshopify.com
2024-07-10 23:13:05 UTC,Installed,,,Meditakt ,DE,service@meditakt.de,755b94-99.myshopify.com
2024-07-10 23:39:49 UTC,Installed,,,BagOnFly,CH,bagonflyshop@gmail.com,9a690b-4e.myshopify.com
2024-07-10 23:44:26 UTC,Uninstalled,"",,BagOnFly,CH,bagonflyshop@gmail.com,9a690b-4e.myshopify.com
2024-07-11 00:00:47 UTC,Installed,,,DealsEase,GB,joblesslimited@gmail.com,67ee34-a5.myshopify.com
2024-07-11 01:21:16 UTC,Store closed,,,lux-bodi,US,shopify@automatedretailcommerce.com,lux-bodi.myshopify.com
2024-07-11 01:30:28 UTC,Store closed,,,Arbourline,IN,arbourline@gmail.com,87a3ce-2.myshopify.com
2024-07-11 01:44:55 UTC,Store closed,,,Impresiónate ,ES,impresionateartesgraficas@gmail.com,60f8b4-43.myshopify.com
2024-07-11 01:45:05 UTC,Store closed,,,Sweet Toof Dog Bakery,US,thesweettoofbakery@gmail.com,298bc3-ff.myshopify.com
2024-07-11 01:58:27 UTC,Installed,,,MyChicClothes.com,FR,celma.icombusiness@gmail.com,02d990-2.myshopify.com
2024-07-11 02:42:56 UTC,Uninstalled,"",,MyChicClothes.com,FR,celma.icombusiness@gmail.com,02d990-2.myshopify.com
2024-07-11 06:03:11 UTC,Installed,,,Prolinen,IN,pradeep@prolinen.com,a47329-3.myshopify.com
2024-07-11 06:32:01 UTC,Installed,,,product_bundle_test_store,SG,stephen@nestscale.com,product-bundle-test-store.myshopify.com
2024-07-11 07:18:59 UTC,Installed,,,Quick Shopee,PK,quickshopee66@gmail.com,b7b90c-c7.myshopify.com
2024-07-11 07:51:53 UTC,Installed,,,Etch,SG,Admin@etch.com.sg,etchsg.myshopify.com
2024-07-11 08:11:28 UTC,Installed,,,Ink & Blur,US,shimblair10@gmail.com,b08a56-aa.myshopify.com
2024-07-11 08:27:56 UTC,Installed,,,Camport,PT,contacto@camport.pt,camportfootwear.myshopify.com
2024-07-11 08:40:15 UTC,Uninstalled,Limited or missing features,,Camport,PT,contacto@camport.pt,camportfootwear.myshopify.com
2024-07-11 09:30:08 UTC,Installed,,,haibra,SG,datdetde03@gmail.com,haibra.myshopify.com
2024-07-11 10:14:00 UTC,Uninstalled,"",,dmoban,CN,zhenhe@qq.com,dmoban.myshopify.com
2024-07-11 11:10:43 UTC,Uninstalled,"",,Reflow,NL,anna@reflowfilament.com,a8c874-df.myshopify.com
2024-07-11 11:21:21 UTC,Installed,,,Carabay Packaging Products,IE,sales@carabay.ie,testsite-2016.myshopify.com
2024-07-11 12:02:38 UTC,Store closed,,,TravelRare,AU,shop@travelrare.com,travelrare.myshopify.com
2024-07-11 12:07:05 UTC,Installed,,,Abhishek Store [AB],IN,abhishek.paraskar5299@gmail.com,quickstart-705d25a3.myshopify.com
2024-07-11 12:14:03 UTC,Installed,,,Thodadrama,IN,thodadrama@gmail.com,ca2fa1-e6.myshopify.com
2024-07-11 12:17:27 UTC,Store closed,,,My Store,HK,hkleoorder@gmail.com,cccd3d-c3.myshopify.com
2024-07-11 12:23:20 UTC,Store closed,,,Atlance,IN,atlancemarketing@gmail.com,atlancestore.myshopify.com
2024-07-11 12:45:27 UTC,Installed,,,Getsetwear,IN,bhavya@getsetwear.co.in,getsetwear2.myshopify.com
2024-07-11 12:59:07 UTC,Uninstalled,"",,Getsetwear,IN,bhavya@getsetwear.co.in,getsetwear2.myshopify.com
2024-07-11 13:04:26 UTC,Uninstalled,"",,Thodadrama,IN,thodadrama@gmail.com,ca2fa1-e6.myshopify.com
2024-07-11 13:19:27 UTC,Uninstalled,"",,ARTVALL,DE,kontakt@artvall.de,e4a268.myshopify.com
2024-07-11 13:20:17 UTC,Installed,,,Baynoo,NO,Contact@baynoo.com,fd0cfb-4d.myshopify.com
2024-07-11 13:29:29 UTC,Store re-opened,,,Atlance,IN,atlancemarketing@gmail.com,atlancestore.myshopify.com
2024-07-11 14:13:20 UTC,Installed,,,SUNCHILLER FLOATY,CA,se.ana.m.ould2.2@gmail.com,96ef8c-99.myshopify.com
